SalesOrderID,OrderQty,ProductID,UnitPrice,UnitPriceDiscount,LineTotal,CustomerID
71885,3,876,72,0,216,29612
71885,6,884,32.394,0,194.364,29612
71885,3,864,38.1,0,114.3,29612
71895,2,909,23.484,0,46.968,29584
71895,2,715,29.994,0,59.988,29584
71895,3,864,38.1,0,114.3,29584
71897,1,966,1430.442,0,1430.442,29877
71897,4,979,445.41,0,1781.64,29877
71897,3,969,1430.442,0,4291.326,29877
71897,3,884,32.394,0,97.182,29877
71897,4,712,5.394,0,21.576,29877
71897,2,954,1430.442,0,2860.884,29877
71897,1,864,38.1,0,38.1,29877
71897,1,948,63.9,0,63.9,29877
71898,3,969,1430.442,0,4291.326,29932
71898,4,978,445.41,0,1781.64,29932
71898,4,996,72.894,0,291.576,29932
71898,6,967,1430.442,0,8582.652,29932
71898,3,970,728.91,0,2186.73,29932
71898,1,956,1430.442,0,1430.442,29932
71898,3,960,445.41,0,1336.23,29932
71898,3,994,32.394,0,97.182,29932
71898,1,959,445.41,0,445.41,29932
71898,4,968,1430.442,0,5721.768,29932
71898,3,966,1430.442,0,4291.326,29932
71898,5,972,728.91,0,3644.55,29932
71898,4,949,105.294,0,421.176,29932
71898,1,958,445.41,0,445.41,29932
71898,3,945,54.894,0,164.682,29932
71898,5,971,728.91,0,3644.55,29932
71898,2,953,728.91,0,1457.82,29932
71898,1,889,602.346,0,602.346,29932
71898,1,955,1430.442,0,1430.442,29932
71898,3,964,445.41,0,1336.23,29932
71898,3,916,31.584,0,94.752,29932
71898,1,948,63.9,0,63.9,29932
71898,3,979,445.41,0,1336.23,29932
71898,3,951,242.994,0,728.982,29932
71898,3,954,1430.442,0,4291.326,29932
71898,1,952,12.144,0,12.144,29932
71898,5,965,445.41,0,2227.05,29932
71898,2,961,445.41,0,890.82,29932
71899,2,881,32.394,0,64.788,29568
71899,1,988,112.998,0.4,67.7988,29568
71899,1,981,461.694,0,461.694,29568
71899,1,743,809.76,0,809.76,29568
71899,1,808,26.724,0,26.724,29568
71899,2,714,29.994,0,59.988,29568
71899,2,944,158.43,0,316.86,29568
71899,1,937,48.594,0,48.594,29568
71902,5,780,1391.994,0,6959.97,29929
71902,2,981,461.694,0,923.388,29929
71902,1,904,218.454,0,218.454,29929
71902,1,987,112.998,0.4,67.7988,29929
71902,7,783,1376.994,0,9638.958,29929
71902,5,781,1391.994,0,6959.97,29929
71902,2,859,14.694,0,29.388,29929
71902,7,869,41.994,0,293.958,29929
71902,2,908,16.272,0,32.544,29929
71902,3,712,5.394,0,16.182,29929
71902,1,925,149.874,0,149.874,29929
71902,2,937,48.594,0,97.188,29929
71902,3,992,323.994,0,971.982,29929
71902,3,980,461.694,0,1385.082,29929
71902,3,715,29.994,0,89.982,29929
71902,4,935,24.294,0,97.176,29929
71902,1,989,323.994,0,323.994,29929
71902,4,984,112.998,0.4,271.1952,29929
71902,2,982,461.694,0,923.388,29929
71902,8,782,1376.994,0,11015.952,29929
71902,2,784,1376.994,0,2753.988,29929
71902,1,810,72.162,0,72.162,29929
71902,1,926,149.874,0,149.874,29929
71902,3,714,29.994,0,89.982,29929
71902,7,870,2.994,0,20.958,29929
71902,4,876,72,0,288,29929
71902,5,877,4.77,0,23.85,29929
71902,2,707,20.994,0,41.988,29929
71902,1,993,323.994,0,323.994,29929
71902,6,864,38.1,0,228.6,29929
71902,7,867,41.994,0,293.958,29929
71902,2,809,37.152,0,74.304,29929
71902,3,988,112.998,0.4,203.3964,29929
71902,5,880,32.994,0,164.97,29929
71902,1,936,37.254,0,37.254,29929
71902,4,708,20.994,0,83.976,29929
71902,3,779,1391.994,0,4175.982,29929
71902,2,991,323.994,0,647.988,29929
71902,5,883,32.394,0,161.97,29929
71902,1,910,31.584,0,31.584,29929
71902,2,881,32.394,0,64.788,29929
71902,5,985,112.998,0.4,338.994,29929
71902,7,711,20.994,0,146.958,29929
71902,1,986,112.998,0.4,67.7988,29929
71902,7,748,818.7,0,5730.9,29929
71902,5,884,32.394,0,161.97,29929
71902,2,918,158.43,0,316.86,29929
71902,3,905,218.454,0,655.362,29929
71902,4,983,461.694,0,1846.776,29929
71902,6,865,38.1,0,228.6,29929
71915,3,836,356.898,0,1070.694,29638
71915,2,738,202.332,0,404.664,29638
71915,4,938,24.294,0,97.176,29638
71915,3,939,37.254,0,111.762,29638
71915,1,940,48.594,0,48.594,29638
71917,7,875,5.394,0,37.758,30025
71920,1,973,1020.594,0,1020.594,29982
71920,3,938,24.294,0,72.882,29982
71920,1,976,1020.594,0,1020.594,29982
71920,7,884,32.394,0,226.758,29982
71920,3,864,38.1,0,114.3,29982
71920,1,876,72,0,72,29982
71923,1,870,2.994,0,2.994,29781
71923,4,874,5.394,0,21.576,29781
71923,14,875,5.2142,0.02,71.538824,29781
71935,3,874,5.394,0,16.182,29531
71935,1,938,24.294,0,24.294,29531
71935,3,973,1020.594,0,3061.782,29531
71935,2,976,1020.594,0,2041.188,29531
71935,1,998,323.994,0,323.994,29531
71935,13,875,5.2142,0.02,66.428908,29531
71936,3,944,158.43,0,475.29,30050
71936,4,985,112.998,0.4,271.1952,30050
71936,4,996,72.894,0,291.576,30050
71936,1,707,20.994,0,20.994,30050
71936,1,926,149.874,0,149.874,30050
71936,4,808,26.724,0,106.896,30050
71936,5,992,323.994,0,1619.97,30050
71936,6,951,242.994,0,1457.964,30050
71936,3,780,1391.994,0,4175.982,30050
71936,2,905,218.454,0,436.908,30050
71936,4,747,809.76,0,3239.04,30050
71936,14,867,40.5942,0.02,556.952424,30050
71936,3,935,24.294,0,72.882,30050
71936,5,945,54.894,0,274.47,30050
71936,5,924,149.874,0,749.37,30050
71936,10,783,1376.994,0,13769.94,30050
71936,5,784,1376.994,0,6884.97,30050
71936,5,748,818.7,0,4093.5,30050
71936,2,981,461.694,0,923.388,30050
71936,5,894,72.876,0,364.38,30050
71936,4,779,1391.994,0,5567.976,30050
71936,8,782,1376.994,0,11015.952,30050
71936,8,869,41.994,0,335.952,30050
71936,3,952,12.144,0,36.432,30050
71936,3,949,105.294,0,315.882,30050
71936,5,937,48.594,0,242.97,30050
71936,3,910,31.584,0,94.752,30050
71936,2,917,158.43,0,316.86,30050
71936,3,994,32.394,0,97.182,30050
71936,1,984,112.998,0.4,67.7988,30050
71936,6,860,14.694,0,88.164,30050
71936,4,948,63.9,0,255.6,30050
71936,6,925,149.874,0,899.244,30050
71936,3,908,16.272,0,48.816,30050
71936,1,918,158.43,0,158.43,30050
71936,4,743,809.76,0,3239.04,30050
71936,5,739,818.7,0,4093.5,30050
71936,2,987,112.998,0.4,135.5976,30050
71936,5,809,37.152,0,185.76,30050
71936,2,904,218.454,0,436.908,30050
71936,4,781,1391.994,0,5567.976,30050
71936,4,868,41.994,0,167.976,30050
